"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,1.8014469
0,10,1.7608461
0,15,1.7290637
0,20,1.703395
0,25,1.6821172
0,30,1.6640898
0,35,1.6485337
0,40,1.6349012
0,45,1.6227953
0,50,1.6119205
0,55,1.6020511
0,60,1.5930119
0,65,1.5846634
0,70,1.5768942
0,75,1.5696132
0,80,1.5627465
0,85,1.5562328
0,90,1.5500215
0,95,1.5440704
0,100,1.5383445
0,105,1.5328145
0,110,1.5274557
0,115,1.5222474
0,120,1.5171725
0,125,1.512216
0,130,1.5073656
0,135,1.5026108
0,140,1.4979427
0,145,1.4933537
0,150,1.4888374
0,155,1.484388
0,160,1.4800009
0,165,1.4756716
0,170,1.471397
0,175,1.4671738
0,180,1.4629991
0,185,1.4588706
0,190,1.4547863
0,195,1.450744
0,200,1.4467423
0,205,1.4427795
0,210,1.4388543
0,215,1.4349654
0,220,1.4311117
0,225,1.4272922
0,230,1.4235059
0,235,1.4197519
0,240,1.4160292
0,245,1.4123373
0,250,1.4086753
0,255,1.4050426
0,260,1.4014385
0,265,1.3978624
0,270,1.3943137
0,275,1.3907918
0,280,1.3872962
0,285,1.3838264
0,290,1.3803818
0,295,1.3769622
0,300,1.3735669
0,305,1.3701956
0,310,1.3668478
0,315,1.363523
0,320,1.360221
0,325,1.3569415
0,330,1.3536837
0,335,1.3504477
0,340,1.3472329
0,345,1.3440391
0,350,1.3408659
0,355,1.3377129
0,360,1.33458
0,365,1.3314668
0,370,1.328373
0,375,1.3252982
0,380,1.3222424
0,385,1.319205
0,390,1.3161861
0,395,1.3131852
0,400,1.3102021
0,405,1.3072367
0,410,1.3042885
0,415,1.3013575
0,420,1.2984433
0,425,1.2955459
0,430,1.2926649
0,435,1.2898002
0,440,1.2869515
0,445,1.2841188
0,450,1.2813016
0,455,1.2785
0,460,1.2757137
0,465,1.2729424
0,470,1.2701861
0,475,1.2674446
0,480,1.2647177
0,485,1.2620052
0,490,1.2593069
0,495,1.2566228
0,500,1.2539527
0,505,1.2512964
0,510,1.2486537
0,515,1.2460245
0,520,1.2434088
0,525,1.2408062
0,530,1.2382168
0,535,1.2356403
0,540,1.2330767
0,545,1.2305257
0,550,1.2279873
0,555,1.2254615
0,560,1.2229478
0,565,1.2204465
0,570,1.2179573
0,575,1.21548
0,580,1.2130145
0,585,1.2105608
0,590,1.2081188
0,595,1.2056884
0,600,1.2032694
0,605,1.2008616
0,610,1.1984651
0,615,1.1960797
0,620,1.1937054
0,625,1.1913421
0,630,1.1889895
0,635,1.1866478
0,640,1.1843166
0,645,1.181996
0,650,1.179686
0,655,1.1773863
0,660,1.1750969
0,665,1.1728176
0,670,1.1705486
0,675,1.1682895
0,680,1.1660405
0,685,1.1638014
0,690,1.1615721
0,695,1.1593524
0,700,1.1571425
0,705,1.1549422
0,710,1.1527512
0,715,1.1505698
0,720,1.1483978
0,780,1.1230383
0,782.1429,1.1221558
0,784.2857,1.121275
0,786.4286,1.1203957
0,788.5714,1.1195179
0,790.7143,1.1186417
0,792.8571,1.1177671
0,795,1.116894
0,797.1429,1.1160225
0,799.2857,1.1151524
0,801.4286,1.1142838
0,803.5714,1.1134168
0,805.7143,1.1125512
0,807.8571,1.1116872
0,810,1.1108247
0,812.1429,1.1099638
0,814.2857,1.1091042
0,816.4286,1.1082462
0,818.5714,1.1073897
0,820.7143,1.1065346
0,822.8571,1.105681
0,825,1.1048288
0,827.1429,1.1039783
0,829.2857,1.103129
0,831.4286,1.1022813
0,833.5714,1.1014351
0,835.7143,1.1005902
0,837.8571,1.0997468
0,840,1.098905
0,842.1429,1.0980644
0,844.2857,1.0972254
0,846.4286,1.0963877
0,848.5714,1.0955516
0,850.7143,1.0947168
0,852.8571,1.0938835
0,855,1.0930516
0,857.1429,1.092221
0,859.2857,1.0913919
0,861.4286,1.0905641
0,863.5714,1.0897379
0,865.7143,1.088913
0,867.8571,1.0880893
0,870,1.0872673
0,872.1429,1.0864464
0,874.2857,1.0856271
0,876.4286,1.0848091
0,878.5714,1.0839924
